Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
0.002885,1.02e-06,1.6563085144452097e-06,-6.363085144452097e-07,1.0966908900701494e-06
0.0028852,9.6e-07,1.6569677142925279e-06,-6.96967714292528e-07,1.1128553958687086e-06
0.0028854,1.08e-06,1.657626914139846e-06,-5.77626914139846e-07,1.1383035314340959e-06
0.0028856,1.14e-06,1.6582861139871608e-06,-5.182861139871607e-07,1.1726018851414786e-06
0.0028858,1.38e-06,1.658945313834479e-06,-2.78945313834479e-07,1.2151623074607815e-06
0.002886,1.44e-06,1.659604513681797e-06,-2.196045136817971e-07,1.2652521942397603e-06
0.0028862,1.5e-06,1.6602637135291135e-06,-1.6026371352911348e-07,1.3220072956010898e-06
0.0028864,1.62e-06,1.6609229133764317e-06,-4.0922913376431716e-08,1.38444682653075e-06
0.0028866,1.68e-06,1.6615821132237481e-06,1.8417886776251893e-08,1.4514906150346338e-06
0.0028868,1.74e-06,1.6622413130710663e-06,7.775868692893381e-08,1.5219779879159464e-06
0.002887,1.98e-06,1.6629005129183827e-06,3.170994870816174e-07,1.5946880641183035e-06
0.0028872,1.98e-06,1.6635597127657009e-06,3.1644028723429924e-07,1.6683611006250098e-06
0.0028874,2.1e-06,1.6642189126130173e-06,4.357810873869825e-07,1.74172051797944e-06
0.0028876,2.16e-06,1.6648781124603355e-06,4.951218875396646e-07,1.8134952200582245e-06
0.0028878,2.1e-06,1.665537312307652e-06,4.344626876923479e-07,1.8824418180275108e-06
0.002888,2.1e-06,1.66619651215497e-06,4.3380348784502974e-07,1.9473663698181483e-06
0.0028882,2.16e-06,1.6668557120022865e-06,4.931442879977136e-07,2.007145255144466e-06
0.0028884,2.22e-06,1.6675149118496047e-06,5.524850881503953e-07,2.060744820930861e-06
0.0028886,2.22e-06,1.668174111696921e-06,5.518258883030788e-07,2.1072394538154803e-06
0.0028888,2.22e-06,1.6688333115442393e-06,5.511666884557607e-07,2.1458277635903505e-06
0.002889,2.28e-06,1.6694925113915574e-06,6.105074886084428e-07,2.1758465948228034e-06
0.0028892,2.22e-06,1.6701517112388738e-06,5.498482887611261e-07,2.196782621488281e-06
0.0028894,2.16e-06,1.6708109110861903e-06,4.891890889138098e-07,2.208281322007643e-06
0.0028896,2.22e-06,1.6714701109335084e-06,5.485298890664915e-07,2.2101531777256653e-06
0.0028898,2.16e-06,1.6721293107808266e-06,4.878706892191735e-07,2.20237698647819e-06
0.00289,2.16e-06,1.672788510628143e-06,4.87211489371857e-07,2.1851002332818044e-06
0.0028902,2.04e-06,1.6734477104754595e-06,3.6655228952454045e-07,2.158636511698416e-06
0.0028904,1.92e-06,1.6741069103227776e-06,2.458930896772222e-07,2.1234600409518524e-06
0.0028906,2.04e-06,1.6747661101700958e-06,3.6523388982990416e-07,2.080197374625466e-06
0.0028908,1.92e-06,1.6754253100174122e-06,2.445746899825876e-07,2.02961644595663e-06
0.002891,1.92e-06,1.6760845098647287e-06,2.4391549013527114e-07,1.9726131412544865e-06
0.0028912,1.74e-06,1.6767437097120468e-06,6.325629028795323e-08,1.9101956361291194e-06
0.0028914,1.68e-06,1.677402909559365e-06,2.597090440635025e-09,1.8434667684661355e-06
0.0028916,1.68e-06,1.6780621094066814e-06,1.937890593318573e-09,1.7736047563537603e-06
0.0028918,1.62e-06,1.6787213092539979e-06,-5.872130925399794e-08,1.701842598032403e-06
0.002892,1.44e-06,1.679380509101316e-06,-2.3938050910131606e-07,1.629446514019985e-06
0.0028922,1.44e-06,1.6800397089486342e-06,-2.400397089486342e-07,1.5576938084469491e-06
0.0028924,1.38e-06,1.6806989087959506e-06,-3.006989087959507e-07,1.4878505365586459e-06
0.0028926,1.38e-06,1.681358108643267e-06,-3.0135810864326717e-07,1.42114936893998e-06
0.0028928,1.38e-06,1.6820173084905852e-06,-3.020173084905853e-07,1.3587680393694993e-06
0.002893,1.32e-06,1.6826765083379034e-06,-3.626765083379033e-07,1.3018087532366698e-06
0.0028932,1.2e-06,1.6833357081852198e-06,-4.833357081852199e-07,1.2512789165275657e-06
0.0028934,1.2e-06,1.683994908032538e-06,-4.83994908032538e-07,1.2080735222556166e-06
0.0028936,1.14e-06,1.6846541078798544e-06,-5.446541078798543e-07,1.1729595023092503e-06
0.0028938,1.02e-06,1.6853133077271726e-06,-6.653133077271726e-07,1.1465623183797762e-06
0.002894,1.02e-06,1.685972507574489e-06,-6.65972507574489e-07,1.1293550263342198e-06
0.0028942,1.08e-06,1.6866317074218072e-06,-6.066317074218071e-07,1.1216500052778431e-06
0.0028944,1.02e-06,1.6872909072691236e-06,-6.672909072691236e-07,1.123593495879744e-06
0.0028946,9.6e-07,1.6879501071164418e-06,-7.279501071164419e-07,1.1351630435042972e-06
0.0028948,1.08e-06,1.6886093069637582e-06,-6.086093069637582e-07,1.1561678908052313e-06
0.002895,1.26e-06,1.6892685068110764e-06,-4.2926850681107636e-07,1.1862523129330587e-06
0.0028952,1.08e-06,1.6899277066583928e-06,-6.099277066583928e-07,1.2249018370687483e-06
0.0028954,1.26e-06,1.6905869065057093e-06,-4.3058690650570926e-07,1.2714522375031078e-06
0.0028956,1.32e-06,1.6912461063530274e-06,-3.7124610635302735e-07,1.3251011489902554e-06
0.0028958,1.5e-06,1.6919053062003456e-06,-1.9190530620034552e-07,1.3849220953859316e-06
0.002896,1.62e-06,1.692564506047662e-06,-7.256450604766206e-08,1.449880688234039e-06
0.0028962,1.86e-06,1.6932237058949785e-06,1.6677629410502152e-07,1.5188527120662947e-06
0.0028964,1.92e-06,1.6938829057422966e-06,2.2611709425770322e-07,1.5906437802658223e-06
0.0028966,1.98e-06,1.6945421055896148e-06,2.8545789441038535e-07,1.6640102178522765e-06
0.0028968,1.98e-06,1.695201305436933e-06,2.847986945630672e-07,1.7376808059600145e-06
0.002897,1.98e-06,1.6958605052842477e-06,2.8413949471575244e-07,1.8103790079404025e-06
0.0028972,2.22e-06,1.6965197051315658e-06,5.234802948684341e-07,1.8808452883865528e-06
0.0028974,2.22e-06,1.697178904978884e-06,5.22821095021116e-07,1.9478591350238136e-06
0.0028976,2.28e-06,1.697838104826202e-06,5.821618951737981e-07,2.010260398161258e-06
0.0028978,2.22e-06,1.6984973046735185e-06,5.215026953264814e-07,2.0669695748817607e-06
0.002898,2.28e-06,1.699156504520835e-06,5.808434954791652e-07,2.117006683121217e-06
0.0028982,2.28e-06,1.6998157043681531e-06,5.80184295631847e-07,2.1595083957862934e-06
0.0028984,2.28e-06,1.7004749042154713e-06,5.795250957845289e-07,2.1937431352055776e-06
0.0028986,2.28e-06,1.7011341040627877e-06,5.788658959372124e-07,2.21912386409564e-06
