Phi_ext,I_s_measured,I_s_josephson_fit,residuals
0.0029222,1.32e-06,1.0890876692236718e-05,-9.570876692236718e-06
0.0029224,1.38e-06,1.0967238144696525e-05,-9.587238144696525e-06
0.0029226,1.2e-06,1.1053763117886257e-05,-9.853763117886257e-06
0.0029228,1.2e-06,1.1148461410181153e-05,-9.948461410181153e-06
0.002923,1.2e-06,1.1248822506823157e-05,-1.0048822506823156e-05
0.0029232,1.08e-06,1.1351943560721416e-05,-1.0271943560721417e-05
0.0029234,1.08e-06,1.1454720811800763e-05,-1.0374720811800763e-05
0.0029236,1.02e-06,1.1554075878129594e-05,-1.0534075878129593e-05
0.0029238,1.08e-06,1.1647177555633923e-05,-1.0567177555633923e-05
0.002924,1.2e-06,1.1731621186899269e-05,-1.0531621186899268e-05
0.0029242,1.14e-06,1.1805540620288853e-05,-1.0665540620288852e-05
0.0029244,1.5e-06,1.1867646321133477e-05,-1.0367646321133478e-05
0.0029246,1.56e-06,1.191719982854311e-05,-1.035719982854311e-05
0.0029248,1.62e-06,1.1953944476984056e-05,-1.0333944476984056e-05
